GrowingSeasonID,GrowingSeason,StartDate,EndDate
1,2004,1/1/04,12/31/04
2,2005,1/1/05,12/31/05
3,2003,1/1/03,12/31/03
4,2002,1/1/02,12/31/02
5,2006,1/1/06,12/31/06
6,2007,1/1/07,12/31/07
7,2008,1/1/08,12/31/08
8,2009,1/1/09,12/31/09
9,2010,1/1/10,12/31/10
10,2011,1/1/11,12/31/11
11,2012,1/1/12,12/31/12
12,2013,1/1/13,12/31/13
13,2014,1/1/14,12/31/14
14,2015,1/1/15,12/31/15
15,2016,1/1/16,12/31/16
16,2017,1/1/17,12/31/17
19,2018,1/1/18,12/31/18
20,2019,1/1/19,12/31/19
21,2020,1/1/20,12/31/20
22,2021,1/1/21,12/31/21
23,2022,1/1/22,12/31/22
24,2023,1/1/23,12/31/23
25,2024,1/1/24,12/31/24
26,2025,1/1/25,12/31/25
0,0,1/1/04,12/31/00
