InventoryID,DateCounted,ItemID,UnitID,NumberOfUnits,InventoryComments,LocationID
5201,11/7/24 0:00,5317,20,4,,0
5202,11/7/24 0:00,8106,19,5,,
5203,11/7/24 0:00,7230,48,2,,
5204,11/7/24 0:00,998,19,13,,
5205,11/7/24 0:00,995,19,7,,
5206,11/7/24 0:00,8629,48,13,,
5207,11/7/24 0:00,7246,19,3,,
5208,11/7/24 0:00,7369,19,1,,
5209,11/7/24 0:00,999,19,4,,
5210,11/7/24 0:00,1001,19,10,,
5211,11/7/24 0:00,4923,19,2,,
5212,11/7/24 0:00,8303,19,3,,
5213,11/7/24 0:00,8487,19,3,,
5214,11/7/24 0:00,5459,48,1,,
5215,11/7/24 0:00,1002,19,7,,
5216,11/7/24 0:00,8489,19,6,,
5217,11/7/24 0:00,7367,19,1,,
5218,11/7/24 0:00,822,37,8,,
5219,11/7/24 0:00,807,19,5,,
5220,11/7/24 0:00,5567,19,3,,
5221,11/7/24 0:00,8239,48,3,,
5222,11/7/24 0:00,8238,48,3,,
5223,11/7/24 0:00,7436,20,1,,
5224,11/7/24 0:00,7436,19,1,,
5225,11/7/24 0:00,4175,48,11,,
5226,11/7/24 0:00,1037,19,5,,
5227,11/7/24 0:00,8667,37,29,,
5228,11/7/24 0:00,1024,37,5,,
5229,11/7/24 0:00,4967,48,2,,
5230,11/7/24 0:00,8416,19,16,,
5231,11/7/24 0:00,8480,19,10,,
5232,11/7/24 0:00,7446,19,1,,
5233,11/7/24 0:00,1203,19,53,,
5234,11/7/24 0:00,2872,19,4,,
5235,11/7/24 0:00,1284,19,2,,
5236,11/7/24 0:00,1388,19,8,,
5237,11/7/24 0:00,1380,19,2,,
5238,11/7/24 0:00,1385,19,4,,
5019,10/13/23 0:00,5981,19,34,,
5020,10/13/23 0:00,7538,19,9,,
5021,10/13/23 0:00,7148,20,6,,
5022,10/13/23 0:00,7546,48,3,Burgundy Blast,
5023,10/13/23 0:00,7373,19,2,,
5024,10/13/23 0:00,1349,19,15,,
5025,10/13/23 0:00,2761,19,10,,
5026,10/13/23 0:00,8202,19,9,,
5027,10/13/23 0:00,4722,19,13,,
5028,10/13/23 0:00,8442,19,9,,
5029,10/13/23 0:00,876,20,5,,
5030,10/13/23 0:00,885,20,7,,
5031,10/13/23 0:00,7872,20,1,Perrins Pride,
5032,10/13/23 0:00,871,20,9,,
5033,10/13/23 0:00,869,20,1,,
5034,10/13/23 0:00,875,20,1,,
5035,10/13/23 0:00,7872,20,5,,
5036,10/13/23 0:00,887,20,16,,
5037,10/13/23 0:00,81,41,1,,
5038,10/13/23 0:00,2586,19,3,,
5039,10/13/23 0:00,1388,19,2,,
5040,10/13/23 0:00,1284,19,1,,
5041,10/13/23 0:00,2872,19,1,,
5042,10/13/23 0:00,1385,19,2,,
5043,10/13/23 0:00,8414,19,21,,
5044,10/13/23 0:00,929,19,26,,
5045,10/13/23 0:00,1400,19,4,,
5046,10/13/23 0:00,1399,19,5,,
5047,10/13/23 0:00,6299,41,3,,
5048,10/13/23 0:00,3312,19,3,,
5049,10/13/23 0:00,6826,19,4,,
5050,10/13/23 0:00,8230,19,4,,
5051,10/13/23 0:00,5493,19,22,,
5052,10/13/23 0:00,4258,19,22,don’t get,
5053,10/13/23 0:00,4185,19,6,,
5054,10/13/23 0:00,7988,48,4,Cheju- do,
5055,10/13/23 0:00,4361,48,3,Everglow,
5056,10/13/23 0:00,8100,19,21,,
5057,10/13/23 0:00,934,19,10,,
5058,10/13/23 0:00,7940,19,3,,
5059,10/13/23 0:00,978,19,10,,
5060,10/13/23 0:00,1010,20,25,,
5061,10/13/23 0:00,2985,20,6,,
5062,10/13/23 0:00,6004,20,7,,
5063,10/13/23 0:00,4255,20,3,,
5064,10/13/23 0:00,8417,19,15,,
5065,10/13/23 0:00,8103,19,4,,
5066,10/13/23 0:00,1015,19,1,,
5067,10/13/23 0:00,8243,19,1,,
5068,10/13/23 0:00,1031,19,4,,
5069,10/13/23 0:00,5442,19,2,,
5070,10/13/23 0:00,7446,19,2,,
5071,10/13/23 0:00,8480,19,1,,
5072,10/13/23 0:00,3188,19,1,,
5073,10/13/23 0:00,1057,19,55,,
5074,10/13/23 0:00,7361,20,2,,
5075,10/13/23 0:00,8375,20,1,,
5076,10/13/23 0:00,8124,20,10,,
5077,10/13/23 0:00,7340,20,12,,
5078,10/13/23 0:00,6628,20,1,,
5079,10/13/23 0:00,8377,20,8,,
5080,10/13/23 0:00,7891,20,5,,
5081,10/13/23 0:00,4700,20,1,,
5082,10/13/23 0:00,3196,19,4,,
5083,10/13/23 0:00,3705,19,7,,
