ItemID,Inactive,Item,Variety,Color,ShouldStock,TypeID,LabelDescription,Definition,PictureLayout,PictureLink,SunConditions
8740,0,Nicotiana mutabalis,Select Misty Dawn,Mix,FALSE,6,Ht. 4-5' Well branched and full of rosey pink and blush white flowers. A hummingbird favorite. Fragrant.,,,,all.jpg
8741,0,Tomato,Chilli Verde,,FALSE,8,"Pepper shaped fruits, with very few seeds, ripen to green with gold blush and have a good strong flavor. Perfect for canning or making a truly green ketchup. Vigorous plants produce excellent yields.
Indeterminate",,,,sun.jpg
8742,0,Browalia americana,Blue Lady,,FALSE,6,Ht. 2' This little gem blooms all season long in all conditions. Flowers are small and blue and combine well with other plants. It also holds up well in a vase.,,,,all_conditions.jpg
8743,0,Browalia americana,Sky Blue,,FALSE,6,"Ht. 18"" Plant in fertile soil, it will produce a large, airy mass of long-blooming blue flowers. This plant is easy to grow and does well in lots of conditions.",,,,all_conditions.jpg
8744,0,Nicotiana,Select Watercolors,,FALSE,6,"Ht. 3-4' A mix of muted shades of green, pink, lavender, and blush-white. A great back of the border plant.",,,,all_conditions.jpg
8745,0,Tree,Hosui Asian Pear,,FALSE,7,"They’re large, juicy and round, like an apple, not “pear-shaped.” Another similarity to apples – they have a crispy texture. While they start out pale green, like your typical pear, they turn a golden, bronze hue as they ripen. Zones 5-9.",,,,sun.jpg
8746,0,Tree,Kosui Asian,Pear,FALSE,7,"Kosui pear trees are pretty cold-hardy, and they can be grown down to USDA zone 4. You will need to provide your tree with a sunny spot and soil that drains well. Plant it with enough space to grow to about 20' tall and 12' wide. Fruit is more apple shaped.",,,,sun.jpg
8747,0,Tree,Gala (Simmons Cltv.),Apple,FALSE,7,Fruit size and flavor are comparable to traditional Gala strains.  Tree habit is upright and vigorous.The average height of these trees at full maturity will be 8-12’ and trees should be planted no closer than 5-6’ apart.,,,,sun.jpg
8748,0,Tree,PIONEER MAC (GREINER CLTV.),Apple,FALSE,7,Flesh is white and firmer than many McIntosh strains. Pioneer™ Mac has shown resistance to late-season drop on mature trees. The average height of these trees at full maturity will be 8-12’ and trees should be planted no closer than 5-6’ apart.,,,,sun.jpg
8749,0,Tree,Early Blush,Apricot,FALSE,7,An early maturing apricot selection introduced by Dr. Joe Goffreda at Rutgers University. The fruit is medium in size with an attractive orange-red blush over a golden background color with excellent flavor.,,,,sun.jpg
8750,0,Tree,Cortland,Apple,FALSE,7,"We recommend supporting semi-dwarf trees until the roots are firmly established, at which point the trees should be freestanding, especially on heavier ground. The average height to expect at full maturity is 14-20’, depending on how they are pruned and maintained. Trees should be planted approximately 10-12’ apart.",,,,sun.jpg
8751,0,Tree,Golden Delicious (Gibson CLTV. ),Apple,FALSE,7,"Fruit is firm, medium to large with the classic Golden Delicious flavor. The tree is spreading, productive and easy to manage. Fruit thinning is required to maintain annual bearing. The average height to expect at full maturity is 14-20’, depending on how they are pruned and maintained. Trees should be planted approximately 10-12’ apart.",,,,sun.jpg
8752,0,Tree,Macoun,Apple,FALSE,7,"An excellent dessert apple with characteristics similar to McIntosh. Macoun is recognized in the Northeast for its high quality. Flesh is white, firm and juicy. A top choice for the roadside market and pickyour- own trade. Tree is upright in habit, requiring aggressive thinning to maintain annual cropping. he average height to expect at full maturity is 14-20’, depending on how they are pruned and maintained. Trees should be planted approximately 10-12’ apart.",,,,sun.jpg
