PitchID,DatePitched,ItemID,UnitID,NumberOfUnits,PitchComments,PitchReason
4,2004-06-12 00:00:00,1695,2.0,7,soggy crap,Other
5,2004-06-12 00:00:00,3244,1.0,1,soggy crap,Other
6,2004-06-12 00:00:00,2176,37.0,3,,Other
7,2004-06-12 00:00:00,1628,2.0,1,,Other
8,2004-06-09 00:00:00,763,2.0,28,big ugly plants needing too much water,
9,2004-06-09 00:00:00,2449,2.0,3,big ugly plants needing too much water,
10,2004-06-09 00:00:00,742,2.0,14,big ugly plants needing too much water,
11,2004-06-09 00:00:00,751,2.0,29,big ugly plants needing too much water,
12,2004-05-28 00:00:00,2339,37.0,1,,Other
13,2004-06-16 00:00:00,1311,2.0,4,,Disease
14,2004-06-16 00:00:00,1359,2.0,4,,Disease
15,2004-07-03 00:00:00,2726,1.0,29,big ugly plants needing too much water,Overstock
16,2004-07-03 00:00:00,2928,1.0,12,big ugly plants needing too much water,Overstock
17,2004-06-29 00:00:00,2169,16.0,1,,Disease
18,2004-06-07 00:00:00,3627,37.0,1,,Other
19,2004-06-07 00:00:00,3459,37.0,1,,Other
20,2004-06-07 00:00:00,146,37.0,1,,Other
21,2004-06-07 00:00:00,3455,37.0,1,,Other
22,2004-06-07 00:00:00,197,37.0,1,,Other
23,2004-06-07 00:00:00,2960,37.0,2,,Other
24,2004-06-07 00:00:00,3105,37.0,1,,Other
25,2004-06-07 00:00:00,3052,37.0,1,,Other
26,2004-06-07 00:00:00,56,37.0,1,,Other
27,2004-06-07 00:00:00,258,37.0,1,,Other
28,2004-06-07 00:00:00,3475,37.0,1,,Other
29,2004-06-07 00:00:00,238,37.0,1,,Other
30,2004-06-07 00:00:00,239,37.0,1,,Other
31,2004-06-07 00:00:00,759,6.0,1,,Other
32,2004-06-07 00:00:00,23,37.0,4,,Other
33,2004-06-07 00:00:00,2330,37.0,1,,Other
34,2004-06-07 00:00:00,151,37.0,1,,Other
35,2004-06-07 00:00:00,2812,37.0,1,,Other
36,2004-06-07 00:00:00,3480,37.0,3,,Other
37,2004-06-07 00:00:00,3243,37.0,1,,Other
38,2004-06-14 00:00:00,2940,6.0,15,aphids,Disease
39,2004-06-14 00:00:00,670,6.0,53,aphids,Disease
40,2004-06-14 00:00:00,677,2.0,5,aphids,Disease
41,2004-06-14 00:00:00,675,6.0,27,aphids,Disease
42,2004-06-14 00:00:00,672,6.0,32,aphids,Disease
43,2004-06-14 00:00:00,681,2.0,22,aphids,Disease
44,2004-06-14 00:00:00,668,6.0,19,aphids,Disease
45,2004-06-14 00:00:00,3364,2.0,6,aphids,Disease
46,2004-06-14 00:00:00,671,6.0,15,aphids,Disease
47,2004-06-14 00:00:00,667,6.0,61,aphids,Disease
48,2004-06-14 00:00:00,673,6.0,21,aphids,Disease
49,2004-06-14 00:00:00,687,2.0,30,aphids,Disease
50,2004-06-14 00:00:00,749,2.0,3,aphids,Disease
51,2004-06-14 00:00:00,669,6.0,19,aphids,Disease
52,2004-06-14 00:00:00,2445,2.0,9,"""bell sweet pepper"" - aphids",Disease
53,2004-06-23 00:00:00,3283,16.0,1,mildew,Disease
