PlantingID,DatePlanted,ItemID,UnitID,NumberOfUnits,PlantingComments,LocationID
12,3/14/02 0:00,2140,1,14,,
13,3/26/02 0:00,1509,2,8,,
14,3/26/02 0:00,1511,2,15,,
15,3/26/02 0:00,2621,2,15,,
16,3/26/02 0:00,1527,2,12,,
17,3/26/02 0:00,1516,2,9,,
18,3/26/02 0:00,1517,2,10,,
19,3/26/02 0:00,1528,2,30,,
21,3/26/02 0:00,1522,2,12,,
22,3/26/02 0:00,2624,2,12,,
23,3/26/02 0:00,1524,2,31,,
24,3/26/02 0:00,1521,2,33,,
25,3/26/02 0:00,1258,2,12,,
26,3/26/02 0:00,1515,2,23,,
27,3/26/02 0:00,1525,2,15,,
28,3/26/02 0:00,1600,2,16,,
29,3/26/02 0:00,1523,2,12,,
30,3/27/02 0:00,1526,2,10,,
31,3/27/02 0:00,1519,2,14,,
32,3/27/02 0:00,1513,2,15,,
33,3/27/02 0:00,1601,2,10,,
34,3/27/02 0:00,1518,2,14-1/2,,
35,3/26/02 0:00,1514,2,15,,
36,3/27/02 0:00,1520,2,10,,
37,3/27/02 0:00,1599,2,10,,
38,3/27/02 0:00,1598,2,30,,
39,3/27/02 0:00,1508,2,30,,
40,3/27/02 0:00,1597,2,10,,
41,3/27/02 0:00,1510,2,15,,
44,3/14/02 0:00,2145,1,30,,
45,3/14/02 0:00,2146,1,19,,
46,3/14/02 0:00,2147,1,28,,
47,3/4/02 0:00,2408,18,48,,
48,3/4/02 0:00,2181,18,48,many died-,
49,3/4/02 0:00,2135,16,24,,
50,3/4/02 0:00,2135,18,44,,
51,3/4/02 0:00,2421,18,23,,
52,3/4/02 0:00,2421,16,19,,
53,3/4/02 0:00,2434,18,10,,
54,3/4/02 0:00,2434,16,8,,
55,3/4/02 0:00,2423,18,10,,
56,3/4/02 0:00,2423,16,8,,
57,3/4/02 0:00,2426,18,10,,
58,3/4/02 0:00,2426,16,8,,
59,3/4/02 0:00,2433,18,10,,
60,3/4/02 0:00,2433,16,8,,
61,3/4/02 0:00,2424,16,8,,
62,3/4/02 0:00,2424,18,10,,
63,3/4/02 0:00,2435,18,20,,
64,3/4/02 0:00,2435,16,16,,
65,4/3/02 0:00,1232,2,20,,
66,4/3/02 0:00,1229,2,20,,
67,4/3/02 0:00,1231,2,16,,
68,4/3/02 0:00,1228,2,21,,
69,4/3/02 0:00,1230,2,31,,
70,4/4/02 0:00,1545,2,16,,
71,4/4/02 0:00,1546,2,16,,
72,4/4/02 0:00,1548,2,16,,
73,4/4/02 0:00,1547,2,16,,
74,4/4/02 0:00,1536,2,10,,
75,4/4/02 0:00,1537,2,16,,
76,4/4/02 0:00,1544,2,12,,
77,4/4/02 0:00,1529,2,12,,
78,4/4/02 0:00,1531,2,30,,
79,4/4/02 0:00,1534,2,23,,
80,4/4/02 0:00,1530,2,17,,
81,4/4/02 0:00,1535,2,12,,
82,4/4/02 0:00,1533,2,16,,
83,4/4/02 0:00,1532,2,15,,
84,4/4/02 0:00,1541,2,30,,
85,4/7/02 0:00,1539,2,9,,
86,4/7/02 0:00,1540,2,9,,
87,4/7/02 0:00,2963,1,10,,
88,4/9/02 0:00,1559,2,33,,
89,4/9/02 0:00,1618,2,24,,
90,4/9/02 0:00,1350,1,15,,
91,4/9/02 0:00,1241,1,8,,
92,4/9/02 0:00,1628,2,20,,
93,4/9/02 0:00,1351,1,8,,
94,4/9/02 0:00,1403,1,9,,
95,4/9/02 0:00,1402,1,6,,
96,4/9/02 0:00,1549,2,10,,
97,4/9/02 0:00,1695,2,23,,
98,4/9/02 0:00,1252,2,10,,
99,4/14/02 0:00,1439,2,17,,
100,4/14/02 0:00,1448,2,20,,
101,4/14/02 0:00,1446,2,18,,
102,4/14/02 0:00,1430,2,17,,
103,4/14/02 0:00,1445,2,17,,
104,4/14/02 0:00,1434,2,17,,
105,4/15/02 0:00,1447,2,30,,
106,4/15/02 0:00,1431,2,29,,
107,4/15/02 0:00,1441,2,20,,
108,4/15/02 0:00,1442,2,12,,
109,4/16/02 0:00,1427,2,30,,
110,4/16/02 0:00,1435,2,21,,
111,4/16/02 0:00,1433,2,19,,
112,4/16/02 0:00,1443,2,12,,
113,4/16/02 0:00,1437,2,20,,
114,4/16/02 0:00,1432,2,18,,
115,4/16/02 0:00,1428,2,6,,
116,4/17/02 0:00,1436,2,10,,
117,4/17/02 0:00,2297,2,37,,
118,4/17/02 0:00,1426,2,9,,
119,4/17/02 0:00,1438,2,10,,
120,4/17/02 0:00,1440,2,13,,
121,4/17/02 0:00,1429,2,10,,
122,3/8/02 0:00,2228,16,22,,
123,3/8/02 0:00,2228,18,50,,
