SupplierID,Supplier,AccountNumber,Phone,Fax,WebSite,Email,ContactPerson,Address1,Address2,City,State,Zip,SupplierComments,SupplierType
1,Harris,,,,,,,,,,,,,Greenhouse
2,Chilltern,,,,,,,,,,,,,Greenhouse
3,Michells,,,,,,,,,,,,,Greenhouse
4,Stokes,,,,,,,,,,,,,Greenhouse
5,Emerald Coast,,,,,,,,,,,,,Greenhouse
6,Greenleaf,,,,,,,,,,,,,Greenhouse
8,Vanderberg,,,,,,,,,,,,,Greenhouse
9,Walter's,,,,,,,,,,,,,Greenhouse
10,Siegers,6032985764,800-962-4999,,,,,13031 Reflections Drive,,Holland,MI,49424,Seeds,Greenhouse
11,Rupps,,,,,,,,,,,,,Greenhouse
12,Seedhunt,,,,,,,,,,,,,Greenhouse
13,Thompson & Morgan,,,,,,,,,,,,,Greenhouse
14,Ivy Garth,,,,,,,,,,,,,Greenhouse
15,Jelitto,,,,,,,,,,,,,Greenhouse
16,Grimes,,,,,,,,,,,,,Greenhouse
17,Franklin Hill,,,,,,,,,,,,,Greenhouse
18,Johnny's (JSS),,,,,,,,,,,,,Greenhouse
19,Burpee,,,,,,,,,,,,,Greenhouse
20,Fragrant Path,,,,,,,,,,,,,Greenhouse
21,Parks,,,,,,,,,,,,,Greenhouse
22,Plants International,,,,,,,,,,,,,Greenhouse
23,Terra Nova,,,,,,,,,,,,,Greenhouse
24,Economy Labels,,,,,,,,,,,,,Greenhouse
25,DS Cole,,,,,,,,,,,,,Greenhouse
26,Jolly Farmer,,,,,,,,,,,,,Greenhouse
27,Yoder/Greenleaf,,,,,,,,,,,,,Greenhouse
28,Pleasant View Gardens,,,,,,,,,,,,,Greenhouse
29,King Farm,,,,,,,,,,,,,Greenhouse
30,Malmborgs Inc.,,,,,,,,,,,,,Greenhouse
31,Wits End,,,,,,,,,,,,,Greenhouse
32,Frazier,,,,,,,,,,,,,Greenhouse
33,Oglevee,,,,,,,,,,,,,Greenhouse
34,Four Star,,,,,,,,,,,,,Greenhouse
35,EuroAmerican,,,,,,,,,,,,,Greenhouse
36,Bartlett,,,,,,,,,,,,,Greenhouse
37,Spence,,,,,,,,,,,,,Greenhouse
38,Paul Ecke,,,,,,,,,,,,,Greenhouse
39,Sun Gro Horticulture,,,,,,,,,,,,,Greenhouse
40,Vermont Natural Ag,,,,,,,,,,,,,Greenhouse
41,Griffins,,,,,,,,,,,,,Greenhouse
42,Syracuse Pottery,,,,,,,,,,,,,Greenhouse
43,Kinsman,,,,,,,,,,,,,Greenhouse
44,International Pottery Alliance,,,,,,,,,,,,,Greenhouse
46,Totally Tomatoes,,,,,,,,,,,,,Greenhouse
47,Territorial Seed,,,,,,,,,,,,,Greenhouse
48,Moose Tubers,,,,,,,,,,,,,Greenhouse
49,Bob Chapelle,,,,,,,,,,,,,Greenhouse
50,Edgewater Farm,,,,,,,,,,,,,Greenhouse
51,FedCo,,,,,,,,,,,,,Greenhouse
52,Wildseed,,,,,,,,,,,,,Greenhouse
53,Select,,,,,,,,,,,,,Greenhouse
54,Stokes Vegetables,600018621,800-263-7233,,,,,P.O. Box 548,,Buffalo,NY,14240-0548,Seeds,Greenhouse
55,Johnny's Vegetables,,,,,,,,,,,,,Greenhouse
56,Harris Vegetables,,,,,,,,,,,,,Greenhouse
57,Wood Prairie Farm,,,,,,,,,,,,,Greenhouse
58,Charles Keddy,,,,,,,,,,,,,Greenhouse
59,VanBloem,,,,,,,,,,,,,Greenhouse
60,Davidson Greenhouses,,,,,,,,,,,,,Greenhouse
61,Shumway,,,,,,,,,,,,,Greenhouse
63,John Henry,,,,,,,,,,,,,Greenhouse
64,Mountain Valley Grower,,,,,,,,,,,,,Greenhouse
65,Sylvan,,,,,,,,,,,,,Greenhouse
66,Waushara,,,,,,,,,,,,,Greenhouse
67,Plant Delights Nursery,137562,,,,,,,,,,,,Greenhouse
68,Piedmont Plant Company,081991,,,,,,,,,,,,Greenhouse
69,Glass Corner Greenhouse,,,,,,,,,,,,,Greenhouse
70,Shady Hill Gardens,,,,,,,,,,,,,Greenhouse
71,"J.L. Hudson, Seedsman",,,,,,,,,,,,,Greenhouse
72,HPS,,,,,,,,,,,,,Greenhouse
73,Seedway,1265996,800-836-3710,,,,,1734 Railroad Place,,Hall,NY,14463,Seeds,Greenhouse
74,Hudson,,,,,,,,,,,,,Greenhouse
75,Liner Farm Inc.,,,,,,,,,,,,,Greenhouse
76,De Ruiter Seeds Inc.,,,,,,,,,,,,,Greenhouse
77,Robrick Nursery,,,,,,,,,,,,,Greenhouse
79,Nourse Farms,,,,,,,,,,,,,Greenhouse
80,Baker Creek Heirloom,,,,,,,,,,,,,Greenhouse
81,Home & Garden Innovations,,,,,,,,,,,,,Greenhouse
82,Victory Seed,,,,,,,,,,,,,Greenhouse
83,Speedling,,,,,,,,,,,,,Greenhouse
