ItemID,Inactive,Item,Variety,Color,ShouldStock,TypeID,LabelDescription,Definition,PictureLayout,PictureLink,SunConditions
8740,False,Nicotiana mutabalis,Select Misty Dawn,Mix,False,6.0,Ht. 4-5' Well branched and full of rosey pink and blush white flowers. A hummingbird favorite. Fragrant.,nan,nan,nan,all.jpg
8741,False,Tomato,Chilli Verde,nan,False,8.0,"Pepper shaped fruits, with very few seeds, ripen to green with gold blush and have a good strong flavor. Perfect for canning or making a truly green ketchup. Vigorous plants produce excellent yields.
Indeterminate",nan,nan,nan,sun.jpg
8742,False,Browalia americana,Blue Lady,nan,False,6.0,Ht. 2' This little gem blooms all season long in all conditions. Flowers are small and blue and combine well with other plants. It also holds up well in a vase.,nan,nan,nan,all_conditions.jpg
8743,False,Browalia americana,Sky Blue,nan,False,6.0,"Ht. 18"" Plant in fertile soil, it will produce a large, airy mass of long-blooming blue flowers. This plant is easy to grow and does well in lots of conditions.",nan,nan,nan,all_conditions.jpg
8744,False,Nicotiana,Select Watercolors,nan,False,6.0,"Ht. 3-4' A mix of muted shades of green, pink, lavender, and blush-white. A great back of the border plant.",nan,nan,nan,all_conditions.jpg
8745,False,Tree,Hosui Asian Pear,nan,False,7.0,"Theyre large, juicy and round, like an apple, not pear-shaped. Another similarity to apples  they have a crispy texture. While they start out pale green, like your typical pear, they turn a golden, bronze hue as they ripen. Zones 5-9.",nan,nan,nan,sun.jpg
8746,False,Tree,Kosui Asian,Pear,False,7.0,"Kosui pear trees are pretty cold-hardy, and they can be grown down to USDA zone 4. You will need to provide your tree with a sunny spot and soil that drains well. Plant it with enough space to grow to about 20' tall and 12' wide. Fruit is more apple shaped.",nan,nan,nan,sun.jpg
8747,False,Tree,Gala (Simmons Cltv.),Apple,False,7.0,Fruit size and flavor are comparable to traditional Gala strains.  Tree habit is upright and vigorous.The average height of these trees at full maturity will be 8-12 and trees should be planted no closer than 5-6 apart.,nan,nan,nan,sun.jpg
8748,False,Tree,PIONEER MAC (GREINER CLTV.),Apple,False,7.0,Flesh is white and firmer than many McIntosh strains. Pioneer Mac has shown resistance to late-season drop on mature trees. The average height of these trees at full maturity will be 8-12 and trees should be planted no closer than 5-6 apart.,nan,nan,nan,sun.jpg
8749,False,Tree,Early Blush,Apricot,False,7.0,An early maturing apricot selection introduced by Dr. Joe Goffreda at Rutgers University. The fruit is medium in size with an attractive orange-red blush over a golden background color with excellent flavor.,nan,nan,nan,sun.jpg
8750,False,Tree,Cortland,Apple,False,7.0,"We recommend supporting semi-dwarf trees until the roots are firmly established, at which point the trees should be freestanding, especially on heavier ground. The average height to expect at full maturity is 14-20, depending on how they are pruned and maintained. Trees should be planted approximately 10-12 apart.",nan,nan,nan,sun.jpg
8751,False,Tree,Golden Delicious (Gibson CLTV. ),Apple,False,7.0,"Fruit is firm, medium to large with the classic Golden Delicious flavor. The tree is spreading, productive and easy to manage. Fruit thinning is required to maintain annual bearing. The average height to expect at full maturity is 14-20, depending on how they are pruned and maintained. Trees should be planted approximately 10-12 apart.",nan,nan,nan,sun.jpg
8752,False,Tree,Macoun,Apple,False,7.0,"An excellent dessert apple with characteristics similar to McIntosh. Macoun is recognized in the Northeast for its high quality. Flesh is white, firm and juicy. A top choice for the roadside market and pickyour- own trade. Tree is upright in habit, requiring aggressive thinning to maintain annual cropping. he average height to expect at full maturity is 14-20, depending on how they are pruned and maintained. Trees should be planted approximately 10-12 apart.",nan,nan,nan,sun.jpg
8753,False,Tree,Pink Lady (Ruby Pink),Apple,False,7.0,"this Golden Delicious x Lady Williams cross is suggested for warmer Mid-Atlantic growing regions. The fruit is medium to large, crisp with a sweet-tart flavor and a long storage life. Pink Lady develops full flavor after four weeks in storage.",nan,nan,nan,sun.jpg
8754,False,Tree,Contender,Peach,False,7.0,"A high-quality, freestone variety ripening in the Loring season. Fruit is very firm and large with excellent color. The trees are hardy and very productive.",nan,nan,nan,sun.jpg
8755,False,Tree,ORANGERED(BHART CLTV.),Apricot,False,7.0,"An offering from the fruit breeding program at Rutgers University, Orangered harvests approximately one week before Harcot. The fruit develops a red blush over a bright orange ground color. Fruit texture is firm and fruit quality is very good.",nan,nan,nan,sun.jpg
8756,False,Tree,REDHAVEN,Peach,False,7.0,"This variety is considered by many as the standard for the Northeast peach industry.  Tree is vigorous, very bud-hardy and productive.  Fruit is medium-sized and colors to a brilliant red. One of the best commercial varieties.  Ripens around August 1 in south-central Pennsylvania.",nan,nan,nan,sun.jpg
8757,False,Tree,RARITAN ROSE,Peach,False,7.0,"Raritan Rose is an attractive, high-quality, white-fleshed peach. The fruit is medium to large with exceptional eating quality. The trees are productive, resistant to bacterial leaf spot and very winter hardy.",nan,nan,nan,sun.jpg
8758,False,Tree,Saturn,Peach,False,7.0,"Maturing just after Redhaven, Saturn is whitefleshed and very tender, with high sugar content. The tree is vigorous, productive and requires heavy thinning.",nan,nan,nan,sun.jpg
8759,False,Tree,Bartlett,Pear,False,7.0,"A large, heavy-bearing variety with excellent quality. Long considered one of the choicest canning varieties, Bartlett accounts for about 75 percent of the pear production in the United States and Canada. Bartlett requires cross pollination and ripens in late August.",nan,nan,nan,sun.jpg
8760,False,Tree,Seckel,Pear,False,7.0,"A small pear with rich yellowish-brown skin when fully ripe. One of the best-quality dessert pears. Ideal for the home garden. Tree is vigorous, hardy and productive. Ripens two weeks after Bartlett.",nan,nan,nan,sun.jpg
8761,False,Tree,Honeycrisp,Apple,False,7.0,"Excellent crisp, juicy texture. The sweet flavor is well-balanced with occasional tropical overtones. A favorite!",nan,nan,nan,sun.jpg
8763,False,Eschscholzia californica,Apricot Chiffon,nan,False,6.0,"Ht. 8-12"" Sweet little apricot colored California Poppies with silver blue foliage. Plant in fertile, well drained soils. They bloom in spring and summer and self-sow.",nan,nan,nan,sun.jpg
8764,False,Marigold,KILIMANJARO WHITE,nan,False,6.0,"A stellar, creamy white headed marigold that is sure to amaze! This variety has lovely 3-inch creamy-white blooms that really stand out. Ht. 18""",nan,nan,nan,sun.jpg
8765,False,Cobea scandens,"""Cup and Saucer Vine""",nan,False,6.0,"Vigorous. The plant has plentiful bright green leaves that are oblong in shape. The cup-shaped flowers are pale green as they start to open, but then turn purple or white as they mature.",nan,nan,nan,part-sun_sun.jpg
8766,False,Petunia,Easy Wave Red,nan,False,6.0,"Ht. 6-12"" with a spreading habit up to 30"". These plants are highly versatile and work well  in the ground or in containers. Great color and habit. Fast-growing plants bloom freely all season without cutting back, and tolerate both heat and cooler conditions. They are a little more mounded than the original Wave, with a more controlled spread.",nan,nan,nan,part-sun_sun.jpg
8767,False,Petunia,Easy Wave Red Velour,nan,False,6.0,"Ht. 6-12"" with a spreading habit up to 30"". These plants are highly versatile and work well  in the ground or in containers. Great color and habit. Fast-growing plants bloom freely all season without cutting back, and tolerate both heat and cooler conditions. They are a little more mounded than the original Wave, with a more controlled spread.",nan,nan,nan,part-sun_sun.jpg
8768,False,Petunia,Easy Wave Burgundy Velour,nan,False,6.0,"Ht. 6-12"" with a spreading habit up to 30"". These plants are highly versatile and work well  in the ground or in containers. Great color and habit. Fast-growing plants bloom freely all season without cutting back, and tolerate both heat and cooler conditions. They are a little more mounded than the original Wave, with a more controlled spread.",nan,nan,nan,part-sun_sun.jpg
8769,False,Petunia,Wave Purple,nan,False,6.0,"Creates a ground-hugging carpet of color! This group is the lowest growing in the Wave family. It also spreads out, making a beautiful groundcover. Plant 12"" apart and watch it spread up to 4'! These plants are perfect for garden beds, baskets, planters and window boxes.",nan,nan,nan,part-sun_sun.jpg
8770,False,Petunia,Easy Wave Red,nan,False,6.0,"A controlled spreading habit. The plant gracefully cascades from containers, window boxes, and hanging baskets but also makes great edging or ground cover in beds and borders.",nan,nan,nan,part-sun_sun.jpg
8771,False,Petunia,Easy Wave Blue,nan,False,6.0,"Ht. 6-12"" Spread 2' A controlled spreading habit. The plant gracefully cascades from containers, window boxes, and hanging baskets but also makes great edging or ground cover in beds and borders.",nan,nan,nan,part-sun_sun.jpg
8772,False,Hibiscus,Assortment,Mix,False,6.0,nan,nan,nan,nan,sun.jpg
8773,False,Pelargonium sidoides,nan,nan,False,6.0,Even the NIH has good things to say about this plant! It has been shown to acute bronchitis. We grow it because it is entirely lovely beautiful and well behaved. Silver foliage adorned with multitudes of tiny burgundy flowers. Easy to bring in as a houseplant. This plant is a favorite here.,nan,nan,nan,part-sun_sun.jpg
8774,False,Tomato,Dark and Stormy,nan,False,8.0,"Ray's fave. Edgewater exclusive, save your seeds! Green and brown flesh. Productive! Delicious! Beefsteak type",nan,nan,nan,sun.jpg
8775,False,Tomato,Bleeding Heart,nan,False,8.0,oxheart shape. Red and Yellow bi-color. Superb  flavor.,nan,nan,nan,sun.jpg
8776,False,tomato,golden gate,nan,False,8.0,yellow gold roma shape/ extremely delicious/ high yields,nan,nan,nan,sun.jpg
8777,False,tomato,sunrise sauce,nan,False,8.0,orange roma / determinate/ high yields/ perfect in the ground AND in pots,nan,nan,nan,sun.jpg
8778,False,Pepper,THAI DRAGON,nan,False,8.0,pepper- thai dragon. Hot and prolific,nan,nan,nan,sun.jpg
8779,False,Tomato,Lover's Lunch,nan,False,8.0,"red and yellow bi-color/ Meaty, Fruity, and Sweet, just as a lover's lunch should be ;)",nan,nan,nan,sun.jpg
8780,False,Tomato,Gin Fiz,nan,False,8.0,"we love this Heirloom Hybrid!
Red and yellow bicolor/ awesome flavor/ high yields/ disease resistant",nan,nan,nan,sun.jpg
8781,False,Tomato,streak lightning,nan,False,8.0,2-4oz early mid season fruit. Roma shape. PINK STRIPES Awesome tomato flavor and high yields!,nan,nan,nan,sun.jpg
8782,False,Tomato,Boars Tooth,nan,False,8.0,"2-3oz early mid season fruit. Roma shape. Dark red and green stripes. 
Rich flavor/ Meaty flesh.  Awesome for fresh eating AND sauce making",nan,nan,nan,sun.jpg
8783,False,Tomato,SPARKY,nan,False,8.0,"cherry tomato/ red gold stripes/ early, prolific and full of flavor
disease resistant",nan,nan,nan,sun.jpg
8784,False,Tomato,Purple Bumblebee,nan,False,8.0,Dusky Purple with metallic green striping. Sweet and Meaty! Heirloom Hybrid! Performs well even in tough conditions.,nan,nan,nan,sun.jpg
8785,False,Tomato,BLUSH,nan,False,8.0,"JENNY'S FAVE! The flavor is legendary. Tastes like sweet sunshine.  
Red-Yellow Bicolor Grape tomato.  Strong plants tolerate tough conditions.",nan,nan,nan,sun.jpg
8786,False,Tomato,SUNRISE BUMBLEBEE,nan,False,8.0,"Sweetest Cherry tomato. red and yellow bi-color.  
Strong plants tolerate tough conditions.",nan,nan,nan,sun.jpg
8787,False,Tomato,MATT'S WILD CHERRY,nan,False,8.0,"Wild Cherry Tomato with excellent flavor. Some resistance to blight.
Heirloom variety from Hidalgo in Eastern Mexico. Pick and eat frequently!",nan,nan,nan,sun.jpg
8788,False,Heuchera,Black Taffeta,nan,False,7.0,"Ht. 12"" Silky, black foliage chicly ruffled as if it were launched from a Parisian fashion house! Large, glossy leaves in perfect proportion to the plant. Great vigor and reliability",nan,nan,nan,part-sun_shade.jpg
8789,False,Heuchera,Forever Red,nan,False,7.0,"Ht 8-10"" Smoky burgundy-red ruffled foliage remains consistent in color but exhibits its deepest red hues in the spring and fall. Red stems that echo the foliage color support creamy-white flowers that open from pink buds.",nan,nan,nan,part-sun_shade.jpg
