CombinedName,LabelDescription,SunConditions,ItemID,Inactive,Item,Variety,Color,Type,Definition,PictureLayout,PictureLink
Moo Doo,,blank.jpg,370,FALSE,Moo Doo,,,Soil,,,
Cedar Bark Mulch,,blank.jpg,2923,FALSE,Cedar Bark Mulch,,,Soil,,,
Nicotiana mutabalis Select Misty Dawn Mix,Ht. 4-5' Well branched and full of rosey pink and blush white flowers. A hummingbird favorite. Fragrant.,all.jpg,8740,FALSE,Nicotiana mutabalis,Select Misty Dawn,Mix,Annual,,,
Browalia americana Blue Lady,Ht. 2' This little gem blooms all season long in all conditions. Flowers are small and blue and combine well with other plants. It also holds up well in a vase.,all_conditions.jpg,8742,FALSE,Browalia americana,Blue Lady,,Annual,,,
Browalia americana Sky Blue,"Ht. 18"" Plant in fertile soil, it will produce a large, airy mass of long-blooming blue flowers. This plant is easy to grow and does well in lots of conditions.",all_conditions.jpg,8743,FALSE,Browalia americana,Sky Blue,,Annual,,,
Nicotiana Select Watercolors,"Ht. 3-4' A mix of muted shades of green, pink, lavender, and blush-white. A great back of the border plant.",all_conditions.jpg,8744,FALSE,Nicotiana,Select Watercolors,,Annual,,,
Eschscholzia californica Apricot Chiffon,"Ht. 8-12"" Sweet little apricot colored California Poppies with silver blue foliage. Plant in fertile, well drained soils. They bloom in spring and summer and self-sow.",sun.jpg,8763,FALSE,Eschscholzia californica,Apricot Chiffon,,Annual,,,
Marigold KILIMANJARO WHITE,"A stellar, creamy white headed marigold that is sure to amaze! This variety has lovely 3-inch creamy-white blooms that really stand out. Ht. 18""",sun.jpg,8764,FALSE,Marigold,KILIMANJARO WHITE,,Annual,,,
"Cobea scandens ""Cup and Saucer Vine""","Vigorous. The plant has plentiful bright green leaves that are oblong in shape. The cup-shaped flowers are pale green as they start to open, but then turn purple or white as they mature.",part-sun_sun.jpg,8765,FALSE,Cobea scandens,"""Cup and Saucer Vine""",,Annual,,,
Petunia Easy Wave Red,"Ht. 6-12"" with a spreading habit up to 30"". These plants are highly versatile and work well  in the ground or in containers. Great color and habit. Fast-growing plants bloom freely all season without cutting back, and tolerate both heat and cooler conditions. They are a little more mounded than the original Wave, with a more controlled spread.",part-sun_sun.jpg,8766,FALSE,Petunia,Easy Wave Red,,Annual,,,
Petunia Easy Wave Red Velour,"Ht. 6-12"" with a spreading habit up to 30"". These plants are highly versatile and work well  in the ground or in containers. Great color and habit. Fast-growing plants bloom freely all season without cutting back, and tolerate both heat and cooler conditions. They are a little more mounded than the original Wave, with a more controlled spread.",part-sun_sun.jpg,8767,FALSE,Petunia,Easy Wave Red Velour,,Annual,,,
Petunia Easy Wave Burgundy Velour,"Ht. 6-12"" with a spreading habit up to 30"". These plants are highly versatile and work well  in the ground or in containers. Great color and habit. Fast-growing plants bloom freely all season without cutting back, and tolerate both heat and cooler conditions. They are a little more mounded than the original Wave, with a more controlled spread.",part-sun_sun.jpg,8768,FALSE,Petunia,Easy Wave Burgundy Velour,,Annual,,,
Petunia Wave Purple,"Creates a ground-hugging carpet of color! This group is the lowest growing in the Wave® family. It also spreads out, making a beautiful groundcover. Plant 12"" apart and watch it spread up to 4'! These plants are perfect for garden beds, baskets, planters and window boxes.",part-sun_sun.jpg,8769,FALSE,Petunia,Wave Purple,,Annual,,,
Petunia Easy Wave Red,"A controlled spreading habit. The plant gracefully cascades from containers, window boxes, and hanging baskets but also makes great edging or ground cover in beds and borders.",part-sun_sun.jpg,8770,FALSE,Petunia,Easy Wave Red,,Annual,,,
